YEAR,RANK,TEAM,W,L,OWN,OPP
2021,1,Eastern Washington,0,0,0,0
2021,2,Idaho,0,0,0,0
2021,3,Idaho State,0,0,0,0
2021,4,Montana,0,0,0,0
2021,5,Montana State,0,0,0,0
2021,6,Northern Arizona,0,0,0,0
2021,7,Northern Colorado,0,0,0,0
2021,8,Portland State,0,0,0,0
2021,9,Sacramento State,0,0,0,0
2021,10,Southern Utah,0,0,0,0
2021,11,Weber State,0,0,0,0
